Day After Day,Badfinger,Billboard Top 100 of 1972
Top Of The World,Carpenters,Billboard Top 100 of 1974
Dust In The Wind,Kansas,Billboard Top 100 of 1978
Love Grows (Where My Rosemary Goes),Edison Lighthouse,Billboard Top 100 of 1970
Rocket Man,Elton John,Billboard Top 100 of 1972
All By Myself,Eric Carmen,Billboard Top 100 of 1976
Never Can Say Goodbye,Jackson 5,Billboard Top 100 of 1971
The Gambler,Kenny Rogers,Billboard Top 100 of 1979
Rockin' Robin,Jackson 5,Billboard Top 100 of 1972
I'm Not In Love,10cc,Billboard Top 100 of 1975
Give Me Love (Give Me Peace On Earth),George Harrison,Billboard Top 100 of 1973
Rock The Boat,Hues Corporation,Billboard Top 100 of 1974
Reflections of My Life,Marmalade,Billboard Top 100 of 1970
Morning Has Broken,Cat Stevens,Billboard Top 100 of 1972
Hold the Line,Toto,Billboard Top 100 of 1979
Feelings,Morris Albert,Billboard Top 100 of 1975
"He Ain't Heavy, He's My Brother",Hollies,Billboard Top 100 of 1970
Handy Man,James Taylor,Billboard Top 100 of 1977
Love Is In The Air,John Paul Young,Billboard Top 100 of 1978
I Can See Clearly Now,Johnny Nash,Billboard Top 100 of 1972
If You Leave Me Now,Chicago,Billboard Top 100 of 1976
The Entertainer,Marvin Hamlisch,Billboard Top 100 of 1974
In the Navy,Village People,Billboard Top 100 of 1979
Waterloo,Abba,Billboard Top 100 of 1974
Music Box Dancer,Frank Mills,Billboard Top 100 of 1979
Hold Your Head Up,Argent,Billboard Top 100 of 1972
Smoke On The Water,Deep Purple,Billboard Top 100 of 1973
I Don't Know How To Love Him,Helen Reddy,Billboard Top 100 of 1971
The Air That I Breathe,Hollies,Billboard Top 100 of 1974
Show Me The Way,Peter Frampton,Billboard Top 100 of 1976
Jungle Fever,Chakachas,Billboard Top 100 of 1972
Rikki Don't Lose That Number,Steely Dan,Billboard Top 100 of 1974
Still The Same,Bob Seger & The Silver Bullet Band,Billboard Top 100 of 1978
Goodnight Tonight,Paul McCartney & Wings,Billboard Top 100 of 1979
Barracuda,Heart,Billboard Top 100 of 1977
In the Summertime,Mungo Jerry,Billboard Top 100 of 1970
We Are Family,Sister Sledge,Billboard Top 100 of 1979
Look What You Done For Me,Al Green,Billboard Top 100 of 1972
Night Moves,Bob Seger & The Silver Bullet Band,Billboard Top 100 of 1977
Devil Woman,Cliff Richard,Billboard Top 100 of 1976
Every One's a Winner,Hot Chocolate,Billboard Top 100 of 1979
The Cisco Kid,War,Billboard Top 100 of 1973
Bang a Gong (Get It on),T Rex,Billboard Top 100 of 1972
Boogie Wonderland,"Earth, Wind & Fire",Billboard Top 100 of 1979
"Oh, Babe, What Would You Say",Hurricane Smith,Billboard Top 100 of 1973
This Time I'm In It For Love,Player,Billboard Top 100 of 1978
Sweet City Woman,Stampeders,Billboard Top 100 of 1971
Sing,Carpenters,Billboard Top 100 of 1973
New Kid In Town,Eagles,Billboard Top 100 of 1977
Another Day,Paul McCartney,Billboard Top 100 of 1971
If,Bread,Billboard Top 100 of 1971
25 Or 6 to 4,Chicago,Billboard Top 100 of 1970
Sultans of Swing,Dire Straits,Billboard Top 100 of 1979
Peg,Steely Dan,Billboard Top 100 of 1978
Jet Airliner,Steve Miller Band,Billboard Top 100 of 1977
My Baby Loves Lovin',White Plains,Billboard Top 100 of 1970
You Needed Me,Anne Murray,Billboard Top 100 of 1978
Takin' Care Of Business,Bachman Turner Overdrive,Billboard Top 100 of 1974
Radar Love,Golden Earring,Billboard Top 100 of 1974
Get Down Tonight,KC & The Sunshine Band,Billboard Top 100 of 1975
We've Only Just Begun,Carpenters,Billboard Top 100 of 1970
You Are So Beautiful,Joe Cocker,Billboard Top 100 of 1975
Get Down,Gilbert O'Sullivan,Billboard Top 100 of 1973
Lonesome Loser,Little River Band,Billboard Top 100 of 1979
I Just Want To Celebrate,Rare Earth,Billboard Top 100 of 1971
Puppy Love,Donny Osmond,Billboard Top 100 of 1972
Baby Hold On,Eddie Money,Billboard Top 100 of 1978
Evil Ways,Santana,Billboard Top 100 of 1970
Yesterday Once More,Carpenters,Billboard Top 100 of 1973
Oh Very Young,Cat Stevens,Billboard Top 100 of 1974
No Time,Guess Who,Billboard Top 100 of 1970
Born to Be Alive,Patrick Hernandez,Billboard Top 100 of 1979
Star Wars Theme-Cantina Band,Meco,Billboard Top 100 of 1977
Love Story (Where Do I Begin),Andy Williams,Billboard Top 100 of 1971
Goodbye Yellow Brick Road,Elton John,Billboard Top 100 of 1974
Wonder of You (Live),Elvis Presley,Billboard Top 100 of 1970
Float On,Floaters,Billboard Top 100 of 1977
Clair,Gilbert O'Sullivan,Billboard Top 100 of 1973
Wild World,Cat Stevens,Billboard Top 100 of 1971
Do It Again,Steely Dan,Billboard Top 100 of 1973
I Was Made For Lovin' You,Kiss,Billboard Top 100 of 1979
Oh My My,Ringo Starr,Billboard Top 100 of 1974
Funky Nassau,Beginning Of The End,Billboard Top 100 of 1971
Keep It Comin' Love,Kc & The Sunshine Band,Billboard Top 100 of 1977
Why Can't We Live Together,Timmy Thomas,Billboard Top 100 of 1973
Saturday in the Park,Chicago,Billboard Top 100 of 1972
I Shot The Sheriff,Eric Clapton,Billboard Top 100 of 1974
If Not For You,Olivia Newton-John,Billboard Top 100 of 1971
Livin' Thing,Electric Light Orchestra,Billboard Top 100 of 1977
Sentimental Lady,Bob Welch,Billboard Top 100 of 1978
Give A Little Bit,Supertramp,Billboard Top 100 of 1977
Time Passages,Al Stewart,Billboard Top 100 of 1979
Falling,LeBlanc & Carr,Billboard Top 100 of 1978
Family Affair,Sly & the Family Stone,Billboard Top 100 of 1972
She's Gone,Hall & Oates,Billboard Top 100 of 1976
Rise,Herb Alpert,Billboard Top 100 of 1979
Troglodyte,Jimmy Castor Bunch,Billboard Top 100 of 1972
Amazing Grace,Judy Collins,Billboard Top 100 of 1971
Don't Let Me Be Misunderstood,Santa Esmeralda,Billboard Top 100 of 1978
I'm Leaving It All Up To You,Donny & Marie Osmond,Billboard Top 100 of 1974
Can't Get It Out Of My Head,Electric Light Orchestra,Billboard Top 100 of 1975
Ma Belle Amie,Tee Set,Billboard Top 100 of 1970
Promises,Eric Clapton,Billboard Top 100 of 1979
Clap For The Wolfman,Guess Who,Billboard Top 100 of 1974
Get Off,Foxy,Billboard Top 100 of 1978
I'll Have To Say I Love You In A Song,Jim Croce,Billboard Top 100 of 1974
Angie,Rolling Stones,Billboard Top 100 of 1973
Jambalaya,Blue Ridge Rangers,Billboard Top 100 of 1973
Sealed with a Kiss,Bobby Vinton,Billboard Top 100 of 1972
Life's Been Good,Joe Walsh,Billboard Top 100 of 1978
Don't Expect Me To Be Your Friend,Lobo,Billboard Top 100 of 1973
"Baby, I Love Your Way",Peter Frampton,Billboard Top 100 of 1976
Travelin' Band,Creedence Clearwater Revival,Billboard Top 100 of 1970
Theme From Shaft,Isaac Hayes,Billboard Top 100 of 1971
Walk This Way,Aerosmith,Billboard Top 100 of 1977
Day by Day,Godspell,Billboard Top 100 of 1972
Don't Stop 'Til You Get Enough,Michael Jackson,Billboard Top 100 of 1979
Year Of The Cat,Al Stewart,Billboard Top 100 of 1977
Boogie Nights,Heatwave,Billboard Top 100 of 1977
I'd Like to Teach the World to Sing,New Seekers,Billboard Top 100 of 1972
Are You Ready,Pacific Gas & Electric,Billboard Top 100 of 1970
We've Got Tonight,Bob Seger & the Silver Bullet Band,Billboard Top 100 of 1979
Woodstock,"Crosby, Stills, Nash, & Young",Billboard Top 100 of 1970
Vincent,Don McLean,Billboard Top 100 of 1972
I'll Never Fall in Love Again,Dionne Warwick,Billboard Top 100 of 1970
Sorry Seems To Be The Hardest Word,Elton John,Billboard Top 100 of 1977
"Look What They've Done to My Song, Ma",New Seekers,Billboard Top 100 of 1970
Only You,Ringo Starr,Billboard Top 100 of 1975
"Knowing Me, Knowing You",Abba,Billboard Top 100 of 1977
Space Oddity,David Bowie,Billboard Top 100 of 1973
It Never Rains In Southern California,Albert Hammond,Billboard Top 100 of 1973
You Ain't Seen Nothing Yet,Bachman Turner Overdrive,Billboard Top 100 of 1975
We're All Alone,Rita Coolidge,Billboard Top 100 of 1978
Riders On The Storm,Doors,Billboard Top 100 of 1971
I Do Love You,Gq,Billboard Top 100 of 1979
Papa Was A Rolling Stone,Temptations,Billboard Top 100 of 1973
